helm1	raw	helm2
541.219	1471.41	336.388
541.964	1472.57	336.76
544.325	1478.16	337.216
544.376	1481.42	337.424
545.935	1486.44	337.616
546.025	1489.18	337.713
546.059	1494.2	338.007
546.633	1496.79	338.064
547.36	1496.95	338.204
547.865	1503.29	338.616
547.936	1506.73	339.174
548.536	1510.43	339.612
550.273	1512.84	339.964
550.661	1515.2	340.01
550.746	1515.54	340.486
551.309	1519.15	341.757
551.927	1526.48	342.295
551.958	1527.04	342.588
552.02	1527.68	343.152
552.323	1528.23	343.936
554.402	1530.95	344.318
555.154	1533.36	344.998
555.217	1536.31	345.459
557.229	1538.52	345.946
557.341	1539.86	346.379
557.547	1540.4	346.581
557.885	1541.15	346.91
560.257	1542.94	347.471
560.963	1547.3	347.653
561.071	1547.43	349.96
561.783	1548.06	350.629
562.066	1548.09	350.918
562.945	1553.64	351.18
564.058	1557.54	351.284
565.617	1562.94	351.826
565.719	1565.55	352.757
566.001	1569.18	353.331
566.481	1570.05	353.737
566.679	1578.21	354.49
567.78	1579.97	354.822
568.033	1580.09	354.897
569.222	1580.1	355.275
571.005	1583.18	355.339
571.11	1584.48	355.576
571.198	1587.52	355.849
571.953	1596.93	356.778
572.376	1600.41	357.459
573.017	1603.84	358.198
576.01	1608.45	359.715
577.609	1615.42	360.068
577.628	1622.43	360.087
577.763	1632.11	360.755
579.514	1638.16	361.238
579.699	1639.73	361.493
581.878	1643.66	361.762
584.61	1647.71	361.821
584.716	1650.71	362.208
584.736	1650.77	362.596
585.358	1659.87	363.249
586.603	1665.85	363.363
588.912	1666.06	365.501
590.885	1669.67	366.383
591.918	1674.79	366.819
592.502	1677.72	366.949
593.763	1678.75	367.984
596.089	1685.41	369.294
596.599	1686.96	369.65
599.49	1687.8	370.262
602.891	1692.83	370.855
604.315	1695.83	370.891
604.74	1702.86	371.141
605.816	1706.62	371.162
606.297	1707.35	372.134
606.426	1707.74	372.95
606.542	1708.56	373.405
606.772	1716.07	373.819
606.866	1716.24	374.214
607.266	1719.4	374.506
607.85	1735.12	376.08
608.091	1740.48	376.919
609.3	1744.12	377.176
612.248	1748.92	377.531
612.704	1749.34	378.548
613.234	1750.54	378.728
613.361	1752.44	378.758
613.641	1755.84	379.289
614.494	1772.9	379.408
616.534	1773.92	379.45
618.746	1775.18	379.871
619.762	1780.48	380.403
621.433	1783.65	380.906
622.566	1786.37	380.977
622.824	1786.56	381.273
624.339	1788.52	381.431
625.303	1791.21	381.996
626.562	1797.51	382.187
627.892	1798.18	382.386
627.902	1802.41	382.672
629.273	1803.15	382.978
632.058	1806.96	384.796
632.666	1807.76	384.938
634.61	1814.42	385.697
635.56	1817.52	385.835
636.257	1819.39	388.991
636.976	1820.7	389.18
637.804	1822.17	389.359
638.554	1832.46	389.627
639.037	1833.43	389.645
639.062	1839.45	390.924
640.326	1840.01	392.216
641.428	1856.79	392.293
643.689	1858.84	394.284
647.539	1861.9	394.417
648.823	1871.01	394.616
649.418	1874.21	394.952
650.557	1874.45	396.47
652.63	1876.92	399.025
652.644	1878	400.027
653.147	1882.95	400.418
653.169	1883.92	400.499
653.204	1887.96	401.887
654.688	1888.52	402.506
655.598	1889.18	402.779
656.705	1891.11	402.998
656.968	1892.85	403.158
657.283	1893.84	403.382
658.744	1896.34	403.878
658.842	1899.02	404.015
660.814	1900.17	405.266
663.374	1906.19	405.419
664.615	1913.41	405.446
667.407	1913.46	405.692
669.517	1914.79	406.661
672.422	1915.69	406.968
673.719	1919.03	407.493
674.39	1920	407.499
674.767	1926.15	407.601
676.622	1926.79	408.767
677.286	1933.34	408.836
679.257	1936.75	409.084
681.813	1936.98	409.802
682.214	1937.9	410.86
686.53	1941.27	410.944
688.053	1946.34	411.288
690.357	1952.49	411.764
691.027	1957.01	411.923
696.271	1958.4	412.016
698.216	1964.71	412.394
698.62	1965.14	413.064
698.728	1975.84	413.947
699.623	1976.3	414.553
700.69	1983.65	414.829
701.404	1987.13	415.225
701.442	1988.11	416.118
703.096	1995.99	417.219
703.559	1997.99	417.267
703.895	1998.76	417.515
704.457	1999.9	418.519
704.938	2017.14	419.713
710.106	2021.37	419.892
712.361	2022.28	420.57
712.556	2024.33	421.117
712.593	2024.71	421.659
713.281	2030.11	422.627
714.027	2033.67	422.868
714.942	2035.11	423.413
715.466	2039.39	423.697
715.486	2044.51	423.969
721.357	2045.3	425.944
722.059	2059.67	427.151
723.242	2068.88	427.168
724.439	2079.66	428.939
725.303	2081.43	428.953
726.093	2082.19	431.955
726.129	2082.9	432.35
727.381	2087.95	432.881
727.752	2089.36	433.446
731.836	2093.59	434.044
736.027	2095.73	434.458
736.444	2097.02	434.555
736.79	2127.64	434.706
737.875	2134.68	435.419
739.246	2136.4	436.893
741.634	2138.39	436.938
742.929	2138.75	437.095
743.308	2141.06	438.402
743.659	2142.69	438.689
743.789	2150.96	439.052
745.501	2158.02	439.724
745.641	2158.4	440.715
746.315	2179	441.743
748.853	2181.1	442.536
748.979	2185.63	442.711
749.306	2195.12	442.829
752.081	2201.34	443.21
752.624	2202.21	443.5
753.038	2206.94	451.27
753.679	2211.85	451.533
756.356	2217	451.768
760.374	2220.51	451.907
760.845	2221.35	452.025
761.306	2221.86	456.727
761.937	2225.12	457.198
762.868	2230.15	457.597
768.323	2240.97	457.995
773.136	2242.75	458.795
773.354	2246.21	458.929
773.682	2258.25	459.7
774.279	2260.14	461.944
777.175	2264.25	462.112
780.392	2268.95	463.333
784.754	2276.29	463.521
787.472	2296.02	463.992
789.068	2307.15	465.123
790.072	2307.82	465.134
790.862	2308.13	465.233
790.911	2308.21	465.575
791.467	2322.76	467.926
792.206	2323.04	467.972
792.83	2323.77	468.027
795.915	2342.25	468.26
797.523	2356.1	468.728
797.786	2375.2	471.367
798.783	2385.88	471.518
799.05	2388.07	472.377
801.262	2399.92	472.627
804.308	2407.19	472.969
806.475	2410.96	475.892
807.566	2417.19	476.162
809.055	2417.47	477.064
809.096	2420.58	478.046
811.444	2422.93	478.11
812.507	2424.84	479.302
812.785	2440.14	479.851
813.141	2450.49	479.914
813.44	2451.61	483.262
813.727	2453.39	484.235
815.375	2453.71	488.437
816.062	2469.08	489.192
816.349	2474.19	489.274
816.442	2479.05	489.82
819.316	2482.75	490.8
822.014	2494.5	492.115
826.749	2496.19	492.608
828.164	2499.39	494.446
828.798	2516.53	494.508
828.842	2532.49	495.218
829.652	2542.71	495.281
831.495	2560.26	495.856
832.153	2561.76	498.18
832.228	2562.86	498.191
839.109	2574.47	498.567
846.859	2590.19	500.766
846.967	2590.75	505.259
847.397	2595.08	505.435
854.231	2608.8	506.396
855.961	2609.27	507.396
858.153	2614.56	507.959
861.53	2618.8	508.832
862.305	2624.53	509.559
862.782	2639.65	509.979
862.892	2655.76	510.227
863.106	2659.47	511.062
866.292	2660.95	513.458
866.874	2667.4	513.863
869.958	2670.43	516.162
870.345	2676.84	517.111
876.677	2691.22	520.497
880.416	2692.49	523.23
881.667	2709.79	525.021
882.241	2710.37	525.376
888.334	2712.27	526.992
891.517	2727.12	528.077
892.101	2737.98	528.497
895.152	2750.62	529.12
899.349	2758.42	529.365
902.853	2760.83	532.023
