max, 2.7628, 2.7628, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 3.3049, 3.3049, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
sum, 1.975, 1.975, t, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cch
sum, 3.4261, 3.4261, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 3.4588, 0.9109, xx, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
sum, 1.1434, 0.0469, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 3.6475, 0.6482, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 2.8168, 0.5407, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
sum, 3.6751, 3.6751, t, xx, t, xx, xx, t, t, f, t, t, xx, xx, xx, t, f, CCH
max, 3.499, 0.0615, t, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 2.1172, 0.3833, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 3.2119, 3.2119, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, CCH
sum, 3.3007, 3.3007, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, CCH
sum, 3.112, 3.112, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 2.9776, 0.2108, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 2.5141, 0.3829, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 3.2839, 3.2839, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, CCH
max, 2.9686, 0.0615, t, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 2.8444, 2.8444, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 3.0106, 3.0106, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
max, 2.9824, 2.9824, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
sum, 1.612, 0.4142, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 1.1311, 0.2891, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
