---------------------------------------------
Summary of N-way cross validation experiments
---------------------------------------------
	Data file: 10000 cases * 17 attributes

	Parameter: granularity = 5
	           promising = 0
	           nChanges = 2
	           skew = 20 (means: bestClass= 5.00%)


worthOnData=2.595606 worthOnTest=2.606236 ['from(requirements)/to(deployment)'=[0.550000..0.710000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595788 worthOnTest=2.582414 ['from(programming)/to(programming)'=[119.559998..148.539993)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596316 worthOnTest=2.602310 ['from(requirements)/to(design)'=[3.160000..4.050000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596750 worthOnTest=2.593233 ['from(programming)/to(programming)'=[148.539993..203.970001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.597841 worthOnTest=2.597020 ['from(design)/to(programming)'=[7.120000..9.080000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598467 worthOnTest=2.591605 ['from(requirements)/to(programming)'=[2.520000..3.240000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598604 worthOnTest=2.606548 [reworkSaved=[0.000000..0.130000)] [reworkByPhase=coyle99] 
worthOnData=2.608930 worthOnTest=2.612083 [ivv=integration] [reworkSaved=[0.000000..0.130000)] 

----- Trial 9: Treatments=13 -----
worthOnData=2.589709 worthOnTest=2.611704 ['from(programming)/to(integration)'=[25.920000..32.630001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.589736 worthOnTest=2.593565 ['from(design)/to(design)'=[41.939999..52.439999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592250 worthOnTest=2.612083 ['from(design)/to(deployment)'=[1.050000..1.360000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592693 worthOnTest=2.606915 ['from(requirements)/to(deployment)'=[0.540000..0.700000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592723 worthOnTest=2.611828 ['from(programming)/to(programming)'=[119.440002..148.389999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.592737 worthOnTest=2.607164 ['from(requirements)/to(integration)'=[1.700000..2.190000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.593729 worthOnTest=2.606957 ['from(design)/to(integration)'=[3.130000..4.020000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594951 worthOnTest=2.609440 ['from(programming)/to(programming)'=[148.389999..203.970001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595080 worthOnTest=2.612493 ['from(requirements)/to(design)'=[3.170000..4.070000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596373 worthOnTest=2.617469 ['from(requirements)/to(programming)'=[2.500000..3.220000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.597226 worthOnTest=2.602251 ['from(design)/to(programming)'=[7.140000..9.100000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.600173 worthOnTest=2.592398 [reworkSaved=[0.000000..0.130000)] [reworkByPhase=coyle99] 
worthOnData=2.609939 worthOnTest=2.603182 [ivv=integration] [reworkSaved=[0.000000..0.130000)] 
